suspected_spell_err,num_first_person_use,num_third_person_use,mention_of_emotion,mention_of_substance,mention_of_manic,mention_of_crime,mention_of_selfharm,mention_of_hospitalization,mention_of_societal,mention_of_therapy,mention_of_violence,mention_of_isolation,label
4,0,0,1,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,1,0,2,1,0,7,0,0,1
17,0,0,0,0,0,0,1,0,0,1,1,0,1
4,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,2,0,0,0,2,0,1
37,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,1,0,2,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,2,0,0,0,4,0,0,0,0,1,1
13,0,0,0,0,0,0,4,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0,0,0,0,0,2,0,0,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,1,0,0,0,0,0,1
8,3,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,4,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0,1
24,1,0,1,0,0,0,1,2,0,0,0,0,1
7,0,0,1,0,0,0,1,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,1,4,0,0,1,0,0,0,0,0,1,0
20,0,1,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,2,0,0,2,0,0,0,2,1,1
8,1,0,2,0,1,0,0,0,0,0,0,2,1
5,0,2,1,0,0,0,1,1,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,1
34,2,1,0,0,0,0,6,0,0,1,4,1,1
17,3,0,0,0,0,0,0,0,0,0,0,0,1
15,0,1,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,1,0,0,0,0,0,1
18,0,0,0,0,0,0,2,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,3,0,0,1,0,3,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,3,0,0,4,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,3,3,0,0,0,6,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,5,0,0,3,0,0,1
9,1,0,0,0,0,0,0,0,0,1,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,1,0,0,0,0,1
7,0,0,0,0,0,0,3,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,0,0,0,0,0
29,0,1,0,0,0,0,3,0,1,0,1,0,0
17,0,1,0,0,0,0,0,0,1,0,0,0,0
6,2,0,1,0,0,0,0,0,0,0,1,0,1
10,0,1,2,0,0,0,3,0,0,0,0,0,1
5,1,0,1,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,1,0,1,0,0
11,2,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,1,2,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,2,0,0,0,0,0,1
11,0,0,1,3,0,0,1,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,0,0,0,0,1
